section,name,diet,price,desc,ingredients,spicy,popular,img,status
tandoor-kebabs,Tandoori Platter Non-Veg,non-veg,690,"Chicken tikka, seekh, tangdi and fish tikka",Chicken | Mutton Seekh | Fish | Spices,yes,yes,https://images.unsplash.com/photo-1552566626-52f8b828add9?w=400&h=300&fit=crop,active
tandoor-kebabs,Afghani Chaap,veg,250,Creamy white-marinated soya chaap,Soya Chaap | Cream | Cashew | Pepper,,,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=400&h=300&fit=crop,active
main-course,Paneer Butter Masala,veg,300,Paneer in silky tomato-butter gravy,Paneer | Tomato | Butter | Cream | Fenugreek,,yes,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=400&h=300&fit=crop,active
main-course,Kadai Paneer,veg,300,Paneer with peppers in coarse kadai masala,Paneer | Capsicum | Onion | Kadai Masala,yes,,https://images.unsplash.com/photo-1577219491135-ce391730fb2c?w=400&h=300&fit=crop,active
main-course,Palak Paneer,veg,280,Paneer simmered in garlicky spinach,Paneer | Spinach | Garlic | Cream,,,https://images.unsplash.com/photo-1519671482749-fd09be7ccebf?w=400&h=300&fit=crop,active
main-course,Shahi Paneer,veg,310,Royal cashew-cream paneer gravy,Paneer | Cashew | Cream | Saffron,,,https://images.unsplash.com/photo-1530103862676-de8c9debad1d?w=400&h=300&fit=crop,active
main-course,Matar Paneer,veg,270,Homestyle peas and paneer curry,Paneer | Green Peas | Tomato | Spices,,,https://images.unsplash.com/photo-1464366400600-7168b8af9bc3?w=400&h=300&fit=crop,active
main-course,Malai Kofta,veg,310,Fried paneer-potato dumplings in creamy gravy,Paneer | Potato | Cashew | Cream,,,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400&h=300&fit=crop,active
main-course,Veg Kolhapuri,veg,270,Fiery mixed-vegetable Kolhapuri,Mixed Vegetables | Kolhapuri Masala | Coconut,yes,,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=400&h=300&fit=crop,active
main-course,Veg Jalfrezi,veg,260,Stir-fried vegetables in tangy tomato masala,Mixed Vegetables | Tomato | Capsicum,yes,,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400&h=300&fit=crop,active
main-course,Aloo Gobi,veg,230,Homestyle potato and cauliflower,Potato | Cauliflower | Turmeric | Cumin,,,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,active
main-course,Bhindi Masala,veg,240,Crisp okra tossed in onion masala,Okra | Onion | Tomato | Spices,,,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400&h=300&fit=crop,active
main-course,Chana Masala,veg,240,Punjabi chickpea curry,Chickpeas | Onion | Tomato | Chana Masala,yes,,https://images.unsplash.com/photo-1546039907-7fa05f864c02?w=400&h=300&fit=crop,active
main-course,Rajma,veg,240,Slow-cooked kidney beans in tomato gravy,Kidney Beans | Tomato | Onion | Spices,,,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=400&h=300&fit=crop,active
main-course,Dal Tadka,veg,220,Yellow dal finished with ghee tempering,Toor Dal | Ghee | Garlic | Cumin,,,https://images.unsplash.com/photo-1552566626-52f8b828add9?w=400&h=300&fit=crop,active
main-course,Kaju Curry,veg,340,Cashews in rich creamy gravy,Cashew | Cream | Tomato | Spices,,,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=400&h=300&fit=crop,active
main-course,Mushroom Masala,veg,280,Button mushrooms in onion-tomato masala,Mushroom | Onion | Tomato | Spices,,,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=400&h=300&fit=crop,active
main-course,Soya Chaap Masala,veg,270,Chaap simmered in punchy masala gravy,Soya Chaap | Onion | Tomato | Spices,yes,,https://images.unsplash.com/photo-1577219491135-ce391730fb2c?w=400&h=300&fit=crop,active
main-course,Chicken Tikka Masala,non-veg,360,Char-grilled tikka in spiced tomato gravy,Chicken Tikka | Tomato | Cream | Spices,yes,yes,https://images.unsplash.com/photo-1519671482749-fd09be7ccebf?w=400&h=300&fit=crop,active
main-course,Kadai Chicken,non-veg,350,Chicken with peppers in coarse kadai masala,Chicken | Capsicum | Onion | Kadai Masala,yes,,https://images.unsplash.com/photo-1530103862676-de8c9debad1d?w=400&h=300&fit=crop,active
main-course,Chicken Curry Homestyle,non-veg,330,The Sunday-house chicken curry,Chicken | Onion | Tomato | Whole Spices,yes,,https://images.unsplash.com/photo-1464366400600-7168b8af9bc3?w=400&h=300&fit=crop,active
main-course,Chicken Korma,non-veg,360,"Mild, nutty Mughlai chicken korma",Chicken | Cashew | Cream | Cardamom,,,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400&h=300&fit=crop,active
main-course,Chicken Rara,non-veg,380,Chicken curry enriched with keema,Chicken | Chicken Mince | Onion | Spices,yes,,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=400&h=300&fit=crop,active
main-course,Mutton Rogan Josh,non-veg,450,Kashmiri slow-braised mutton,Mutton | Kashmiri Chilli | Yogurt | Fennel,yes,,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400&h=300&fit=crop,active
main-course,Mutton Curry,non-veg,430,Homestyle mutton in onion-tomato gravy,Mutton | Onion | Tomato | Whole Spices,yes,,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,active
main-course,Egg Curry,non-veg,240,Boiled eggs in spiced onion gravy,Egg | Onion | Tomato | Spices,yes,,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400&h=300&fit=crop,active
